label	addr	ported_namematch	subsystem
ZACO3_ISTRAT	$0a8031	True	ported
ZACO4_ISTRAT	$0a8000	True	ported
ZACO0B_ISTRAT	$0a8500	True	ported
ZACO0_STRAT	$0a84b6	True	ported
ZACO0C_ISTRAT	$0a8526	True	ported
ZACO0D_ISTRAT	$0a85e6	True	ported
ZACO3_STRAT	$0a80a7	True	ported
ZACO0B_STRAT	$0a850d	True	ported
ZACO7_ISTRAT	$0abe26	True	ported
ZACO0C_STRAT	$0a85cd	True	ported
ZACO0D_STRAT	$0a85f3	True	ported
TADPOLE_STRAT	$0aef0d	True	ported
TADPOLE_ISTRAT	$0aeed6	True	ported
READ_JOYPAD_L	$03c119	True	other
READ_JOYPADT_L	$03c106	True	other
GAMEOVER_L	$02e0b4	True	ported
GAMECLIPWINDOW_L	$02ef5d	True	other
GAMEOVERINIT_L	$21bbd8	True	other
SEAMON_STRAT	$08c89d	True	ported
SEAMON_ISTRAT	$08c850	True	ported
SEADRAGON_ISTRAT	$0999a9	True	ported
SEADRAGON2_ISTRAT	$0999a5	True	ported
SEARCHMETEOR_ISTRAT	$099285	True	ported
SEADRAGON_ISTRAT2	$0999f7	True	ported
PFADEINTOTAL	$04ec43	True	structural
HALFD_ISTRAT	$0af652	True	ported
HALFD_STRAT	$0af66b	True	ported
ANGLEXY_OFF_L	$1fcf33	True	structural
ANGLEXY_L	$1fd039	True	ported
ANGLEXY_ABS_L	$1fcf5b	True	ported
NOTHING_ISTRAT	$09be42	True	ported
ALIENFLAGS_L	$02f062	True	ported
EVADERA_STRAT	$08bb1c	True	ported
EVADER_CONT	$08bd3c	True	ported
EVADER_INIT	$08bc56	True	ported
EVADER_STRAT	$08bc63	True	ported
EVADER_ISTRAT	$08bafa	True	ported
FOX_SPRITES_L	$03dcdb	True	render_dma
FOXYTRANS_L	$03db8b	True	other
FOXY_CONTINUE_L	$03d7e0	True	other
FASTPARTICLEEXPLODE_STRAT	$06bb7c	True	ported
FASTEXPLODEDEBRIS_ISTRAT	$06b450	True	ported
FASTPARTICLEEXPLODE_ISTRAT	$06bb46	True	ported
FASTFIGHTER1_STRAT	$08e8cf	True	ported
FASTFIGHTER3_ISTRAT	$08e9ad	True	ported
FASTFIGHTER2_STRAT	$08ea4b	True	ported
FASTFIGHTER3_STRAT	$08e9c6	True	ported
FASTFIGHTER_INIT	$08ea9e	True	ported
FASTFIGHTER1_ISTRAT	$08e8b6	True	ported
FASTFIGHTER2_ISTRAT	$08ea36	True	ported
WEAPCOLLIDE_ISTRAT	$2187c9	True	ported
CHECKBONUS	$02eb49	True	ported
CHECKIFIAMEND	$02e348	True	other
DOBGREQ_L	$03e942	True	other
DEFELASERCOL_ISTRAT	$2188a0	True	ported
DOBOSSROTX4_SROU	$088097	True	ported
DOBOSS2ROT_SROU	$0899f2	True	ported
DOBOSSROT_SROU	$088000	True	ported
CHECKARROWS_SROU	$0be9c6	True	ported
BIG_METEOR_ISTRAT	$209a94	True	ported
BIGWHITEFOSPRITE_L	$06b0f4	True	ported
BIGPARTICLEEXPLODE_STRAT	$06bbcb	True	ported
BIGPARTICLEEXPLODE_ISTRAT	$06bb95	True	ported
BIGEXPLODE_ISTRAT	$06b3c9	True	ported
CUBEEXP_STRAT	$098747	True	ported
CUBEFALL_ISTRAT	$0986c4	True	ported
CUBEFALL_STRAT	$0986ff	True	ported
CUBECOLL_STRAT	$09874c	True	ported
BEMOTHER_L	$03ef61	True	ported
COCKSHIPOUT_STRAT	$0bcf95	True	ported
COCKPITOUT_STRAT	$0bd021	True	ported
COCKPIT_STRAT	$0bcc61	True	ported
COCKPIT_ISTRAT	$0bcc46	True	ported
COCKDUMPL_ISTRAT	$0bcb94	True	ported
COCKDUMPL_STRAT	$0bcbc1	True	ported
COCKPITOUT_ISTRAT	$0bcffc	True	ported
COCKSHIPOUT_ISTRAT	$0bcf67	True	ported
